hr,power_norm
303,0.835805206
304,0.908883079
305,0.978011529
306,0.919949087
307,0.8920012
308,0.937100593
309,0.80509584
310,0.624883835
311,0.667666884
312,0.704285117
313,0.722004088
314,0.798464259
315,0.765984193
316,0.739436996
317,0.591278533
318,0.429250673
319,0.376247267
320,0.310541334
321,0.262584672
322,0.259357733
323,0.244861931
324,0.133728005
325,0.057128812
326,0.025216016
327,0.00508717
328,0.00076566
329,0
330,0
331,0
332,0.025895373
333,0.206625208
334,0.341831386
335,0.585288755
336,0.870183277
337,0.983519411
338,0.995867101
339,0.999309087
340,0.999941778
341,0.999620024
342,0.998283768
343,0.962037182
344,0.724682144
345,0.432369381
346,0.361338528
347,0.401118859
348,0.488941868
349,0.623419782
350,0.79608258
351,0.883467023
352,0.866754802
353,0.845798858
354,0.738371746
355,0.76878293
356,0.846544504
357,0.891768122
358,0.999234128
359,0.99982187
360,0.999630745
361,0.999958173
362,0.999860922
363,1
364,1
365,0.99975756
366,0.996973324
367,0.996200991
368,0.999405456
369,0.999653975
370,0.999945768
371,1
372,1
373,1
374,1
375,1
376,0.985484703
377,0.926162251
378,0.878189794
379,0.783117604
380,0.774464071
381,0.705337377
382,0.881590279
383,0.929023774
384,0.947769348
385,0.699274743
386,0.255241192
387,0.116118659
388,0.098243813
389,0.057883073
390,0.001400877
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0.000461803
406,0.000282671
407,0
408,0
409,0.000522434
410,0.003086492
411,0.008112054
412,0.010423755
413,0.02855163
414,0.03779263
415,0.015292616
416,0.007252112
417,0
418,0
419,0.001266342
420,0.004977719
421,0.035007451
422,0.111333873
423,0.170098143
424,0.196493085
425,0.049218699
426,0.00478746
427,0.012536615
428,0.035561255
429,0.050131153
430,0.052094771
431,0.060502381
432,0.063139309
433,0.04955998
434,0.034097067
435,0.035595013
436,0.040432323
437,0.056548619
438,0.065539403
439,0.050766089
440,0.009049899
441,0
442,0.0108457
443,0.180268009
444,0.436670681
445,0.447730903
446,0.415673788
447,0.393052383
448,0.485181288
449,0.710430928
450,0.898714129
451,0.979173803
452,0.994623494
453,0.994772426
454,0.988495032
455,0.96708111
456,0.956162612
457,0.950629187
458,0.989204717
459,0.998142894
460,0.999613015
461,0.999767582
462,0.999046016
463,0.995851986
464,0.97534825
465,0.888948913
466,0.325169174
467,0.214581935
468,0.175983365
469,0.273498752
470,0.417095478
471,0.410911049
472,0.556014804
473,0.611903262
474,0.550164676
475,0.472620412
476,0.528695794
477,0.709771836
478,0.739612778
479,0.641565406
480,0.822720798
481,0.92389373
482,0.999438882
483,1
484,1
485,0.93336738
486,0.690827851
487,0.987525177
488,0.999941866
489,1
490,1
491,0.916666667
492,0
493,0
494,0
495,0
496,0
497,0.39307576
498,0.286643138
499,0.390490039
500,0.917448831
501,0.602870751
502,0.164756333
503,0.772258508
504,0.618884349
505,0.338295977
506,0.107613296
507,0.007652933
508,0.07435165
509,0.261047245
510,0.394555493
511,0.22296313
512,0.065089317
513,0.029889292
514,0.078157676
515,0.145040312
516,0.212466732
517,0.19242124
518,0.269485495
519,0.382118022
520,0.341455297
521,0.238790508
522,0.203555293
523,0.31926591
524,0.357548954
525,0.386364778
526,0.501714198
527,0.565253743
528,0.436253911
529,0.384983875
530,0.324266575
531,0.21342334
532,0.225170948
533,0.248826291
534,0.696212061
535,0.999439184
536,1
537,1
538,1
539,1
540,1
541,1
542,1
543,0.999919796
544,0.999738042
545,1
546,1
547,1
548,0.999757735
549,0.999905515
550,0.948603098
551,0.444257717
552,0.06687807
553,0.191925461
554,0.291828784
555,0.152017571
556,0.185220023
557,0.435865788
558,0.386260742
559,0.447934679
560,0.245742031
561,0.155879884
562,0.534607627
563,0.660621345
564,0.462183038
565,0.831354256
566,0.819836676
567,0.705880213
568,0.702548627
569,0.659920986
570,0.482157916
571,0.611472424
572,0.962544298
573,0.999990741
574,1
575,1
576,0.999944957
577,0.998521964
578,0.998715099
579,0.999897289
580,0.999902606
581,1
582,1
583,1
584,1
585,1
586,1
587,1
588,1
589,1
590,0.999960248
591,0.997704864
592,0.999637318
593,0.99927129
594,0.997591678
595,0.996271269
596,0.996073683
597,0.995575841
598,0.993163506
599,0.951277447
600,0.883022523
601,0.766061787
602,0.637860044
603,0.504516315
604,0.42917428
605,0.340397884
606,0.265994279
607,0.203013662
608,0.150394703
609,0.095071827
610,0.042244018
611,0.009017896
612,0.007711733
613,0.001349703
614,0.034324364
615,0.248664548
616,0.348092049
617,0.616568959
618,0.677816916
619,0.46174612
620,0.804877222
621,0.929493618
622,0.906107386
623,0.812301826
624,0.95774138
625,0.960407257
626,0.454884746
627,0.123505417
628,0.114889297
629,0.262931301
630,0.568264417
631,0.619117451
632,0.74079659
633,0.962264578
634,0.999501665
635,0.999768551
636,0.999608294
637,0.999745814
638,0.999931828
639,0.999831017
640,0.998376759
641,0.997085516
642,0.94968822
643,0.932996623
644,0.982761296
645,0.994865568
646,0.940841889
647,0.91088299
648,0.961803563
649,0.735532868
650,0.78255132
651,0.507795409
652,0.900072646
653,0.998214126
654,0.999620612
655,0.999995097
656,0.998934436
657,0.997017749
658,0.998536952
659,0.999853706
660,1
661,1
662,0.999982111
663,0.91046828
664,0.948794401
665,0.996381911
666,0.976167528
667,0.993915105
668,0.990058613
669,0.991002369
670,0.996563554
671,0.95259103
672,0.970629875
673,0.923478993
674,0.879094203
675,0.812709149
676,0.531237821
677,0.52779094
678,0.407840478
679,0.396422158
680,0.310729718
681,0.229725025
682,0.22357456
683,0.187134066
684,0.172448173
685,0.13904675
686,0.093090241
687,0.063036325
688,0.05460148
689,0.052585469
690,0.018863576
691,0.003260948
692,0.000472667
693,0
694,0
695,0
696,0
697,0.001447837
698,0.005577751
699,0.024605134
700,0.034237967
701,0.029968329
702,0.037498999
703,0.040004733
704,0.045389997
705,0.047216194
706,0.068272945
707,0.141836799
708,0.255289416
709,0.425196626
710,0.486133766
711,0.630399716
712,0.741779451
713,0.697266328
714,0.579517094
715,0.464896856
716,0.351234653
717,0.228339239
718,0.191538222
719,0.186617888
720,0.176558353
721,0.183049776
722,0.200173736
723,0.178900437
724,0.167321523
725,0.133036457
726,0.118166662
727,0.087655648
728,0.093462444
729,0.039420457
730,0.00303567
731,0.000481577
732,0.004726278
733,0.033941617
734,0.060368234
735,0.057532339
736,0.046548437
737,0.044061999
738,0.083027107
739,0.101811873
740,0.085144847
741,0.042108301
742,0.013413597
743,0.003930176
744,0.001506031
745,0.003139617
746,0.001236618
747,0.001432002
748,0.002498719
749,0.002083098
750,0.002532028
751,0.00110701
752,0.000227523
753,0.000518704
754,0.000196304
755,0.002522482
756,0.082274276
757,0.263983199
758,0.426089426
759,0.600988567
760,0.696361458
761,0.86882033
762,0.934773533
763,0.948561867
764,0.843660076
765,0.923882929
766,0.946058281
767,0.963945047
768,0.820781974
769,0.534154697
770,0.09347713
771,0.000526277
772,0.000756449
773,0.002938658
774,0
775,0.000569989
776,0.020906614
777,0.081026602
778,0.285616882
779,0.528289151
780,0.441387463
781,0.280671108
782,0.216927167
783,0.16814078
784,0.103343523
785,0.091332945
786,0.158445349
787,0.345706566
788,0.266911532
789,0.327163386
790,0.363672622
791,0.380374658
792,0.511548913
793,0.493333441
794,0.340178279
795,0.298907115
796,0.14228585
797,0.122336348
798,0.224296007
799,0.185445835
800,0.266366134
801,0.337077208
802,0.301043077
803,0.232785634
804,0.252887352
805,0.362620852
806,0.38571143
807,0.420441763
808,0.43449384
809,0.451412924
810,0.379357998
811,0.47441346
812,0.513399633
813,0.453909711
814,0.378980982
815,0.358597662
816,0.340553598
817,0.335649677
818,0.419032888
819,0.452835174
820,0.398427095
821,0.374200791
822,0.341452555
823,0.366888787
824,0.378871248
825,0.378234859
826,0.347483937
827,0.342696164
828,0.328958476
829,0.333083793
830,0.333850604
831,0.326918646
832,0.303909175
833,0.256052037
834,0.264352936
835,0.264734993
836,0.2792183
837,0.269104453
838,0.320291239
839,0.250316125
840,0.245645946
841,0.200554271
842,0.157994893
843,0.146305189
844,0.136912341
845,0.139377436
846,0.125950469
847,0.098741128
848,0.104837529
849,0.154859947
850,0.149452656
851,0.142288645
852,0.147634048
853,0.149285604
854,0.156542745
855,0.15381398
856,0.147090229
857,0.137850262
858,0.147150312
859,0.124164111
860,0.128795543
861,0.198943938
862,0.216305493
863,0.148487198
864,0.139399414
865,0.094096462
866,0.082023585
867,0.08422511
868,0.097256047
869,0.112133045
870,0.108008599
871,0.107305587
872,0.095150236
873,0.113858064
874,0.107000627
875,0.088421038
876,0.098311136
877,0.134640175
878,0.183101944
879,0.189355437
880,0.166391302
881,0.181159731
882,0.187361421
883,0.203874614
884,0.133774594
885,0.121084806
886,0.175896317
887,0.155982993
888,0.138308876
889,0.131086423
890,0.121633229
891,0.13905245
892,0.131833617
893,0.122524339
894,0.134583429
895,0.076197809
896,0.075599336
897,0.111378495
898,0.125793391
899,0.160531635
900,0.213172999
901,0.290674883
902,0.092698373
903,0.006170567
904,0.001271701
905,0.001840902
906,0.001707923
907,0
908,0.000355039
909,0.001868539
910,0.000667567
911,0.002327048
912,0.012158851
913,0.02454146
914,0.021941082
915,0.110178352
916,0.119981597
917,0.139395591
918,0.286868762
919,0.319498948
920,0.403135614
921,0.664485721
922,0.762417209
923,0.747806923
924,0.788125404
925,0.859141525
926,0.902144297
927,0.897797537
928,0.689981715
929,0.720609291
930,0.980220373
931,0.987550807
932,0.777340432
933,0.49482245
934,0.481900986
935,0.688329109
936,0.842372608
937,0.812465334
938,0.73847427
939,0.585883188
940,0.484546928
941,0.387694035
942,0.28075012
943,0.262909464
944,0.213145729
945,0.20636971
946,0.127458433
947,0.126976551
948,0.103063254
949,0.079788089
950,0.03015774
951,0.024533192
952,0.004943605
953,6.26E-07
954,0
955,0
956,0
957,0
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,0
967,0
968,0.000325727
969,0.000414491
970,0.000116237
971,0.049608107
972,0.22884522
973,0.381676934
974,0.495276431
975,0.537004066
976,0.516852148
977,0.378240105
978,0.300489354
979,0.318006585
980,0.361332846
981,0.471520503
982,0.792096857
983,0.943175594
984,0.896384529
985,0.678282555
986,0.576544301
987,0.509579949
988,0.490770666
989,0.676976764
990,0.863917136
991,0.882426087
992,0.765100269
993,0.82465841
994,0.919372177
995,0.953726276
996,0.973946993
997,0.982825915
998,0.99696885
999,0.981554008
1000,0.933977485
1001,0.935746717
1002,0.989118449
1003,0.992897892
1004,0.996775365
1005,0.998392693
1006,0.996298782
1007,0.998025966
1008,0.997400792
1009,0.996607836
1010,0.999166187
1011,0.996049579
1012,0.99296302
1013,0.970558516
1014,0.86198105
1015,0.869640779
1016,0.880831281
1017,0.896337207
1018,0.96454974
1019,0.966338547
1020,0.970810827
1021,0.970928073
1022,0.972138508
1023,0.993205237
1024,0.993922408
1025,0.997724581
1026,0.995357641
1027,0.94964269
1028,0.853190056
1029,0.800192436
1030,0.936764995
1031,0.938985268
1032,0.807714526
1033,0.8384926
1034,0.878859282
1035,0.839375901
1036,0.792688739
1037,0.833922497
1038,0.903995649
1039,0.991252859
1040,0.999557789
1041,0.999584707
1042,0.972143817
1043,0.772454135
1044,0.594337837
1045,0.953906171
1046,0.999996018
1047,1
1048,1
1049,1
1050,1
1051,1
1052,1
1053,1
1054,1
1055,1
1056,0.999955384
1057,0.999119465
1058,0.999832749
1059,1
1060,1
1061,1
1062,0.999596087
1063,0.999665578
1064,0.993249337
1065,0.926440525
1066,0.89120268
1067,0.836043255
1068,0.822947395
1069,0.751293286
1070,0.64561191
1071,0.618204602
1072,0.654258633
1073,0.642294987
1074,0.51830409
1075,0.468871053
1076,0.531076137
1077,0.48983266
1078,0.393367757
1079,0.419096812
1080,0.515606137
1081,0.524617302
1082,0.443044784
1083,0.43089505
1084,0.563357365
1085,0.7400225
1086,0.874210378
1087,0.584046316
1088,0.593964724
1089,0.960187236
1090,0.963116487
1091,0.706149201
1092,0.743383145
1093,0.99167316
1094,1
1095,1
1096,0.999850035
1097,0.989723047
1098,0.714571842
1099,0.324757007
1100,0.172373966
1101,0.033080369
1102,0.00115998
1103,0.314721202
1104,0.219647713
1105,0.187047372
1106,0.478035601
1107,0.414298721
1108,0.415638202
1109,0.818791846
1110,0.980681403
1111,0.999409501
1112,0.995199203
1113,0.971905796
1114,0.974231974
1115,0.999952968
1116,0.999176256
1117,1
1118,1
1119,1
1120,1
1121,0.999978534
1122,1
1123,1
1124,1
1125,1
1126,1
1127,0.999987324
1128,0.999592622
1129,0.994477208
1130,0.922894406
1131,0.45558382
1132,0.211623465
1133,0.068908549
1134,0.005874109
1135,0.078661567
1136,0.194648951
1137,0.143807886
1138,0.071254039
1139,0.049657722
1140,0.001959096
1141,0.011165238
1142,0.058463531
1143,0.039385229
1144,0.017430325
1145,0.040148096
1146,0.003117084
1147,0.002528323
1148,0.094256583
1149,0.139291788
1150,0.12348321
1151,0.0828902
1152,0.008036964
1153,0.001708816
1154,0.000709245
1155,0
1156,0
1157,0
1158,0
1159,0
1160,0
1161,0
1162,0.002583483
1163,0.040230721
1164,0.177733362
1165,0.335296484
1166,0.495657599
1167,0.588542322
1168,0.775209014
