,datetime,load_area,mkt_region,zone,mw,dt,md,wday,mw_norm
177,1/1/24 5:00,UGI,MIDATL,PL,103.336,2024-01-01 05:00:00,"(1, 1)",Monday,-1.8145122336322548
178,1/1/24 5:00,VMEU,MIDATL,AE,63.118,2024-01-01 05:00:00,"(1, 1)",Monday,-1.3781883797741823
179,1/1/24 5:00,RTO,RTO,RTO,80959.645,2024-01-01 05:00:00,"(1, 1)",Monday,-1.3187432391301444
180,1/1/24 6:00,AECO,MIDATL,AE,887.65,2024-01-01 06:00:00,"(1, 1)",Monday,-0.7450952304768842
181,1/1/24 6:00,AEPAPT,WEST,AEP,4542.387,2024-01-01 06:00:00,"(1, 1)",Monday,-0.4585025269577148
182,1/1/24 6:00,AEPIMP,WEST,AEP,2509.283,2024-01-01 06:00:00,"(1, 1)",Monday,-2.211500170701531
183,1/1/24 6:00,AEPKPT,WEST,AEP,717.557,2024-01-01 06:00:00,"(1, 1)",Monday,-0.31380227507125397
184,1/1/24 6:00,AEPOPT,WEST,AEP,6143.801,2024-01-01 06:00:00,"(1, 1)",Monday,-1.1718911806018808
185,1/1/24 6:00,AP,WEST,AP,5399.159,2024-01-01 06:00:00,"(1, 1)",Monday,-1.0165363180696803
186,1/1/24 6:00,BC,MIDATL,BC,3255.665,2024-01-01 06:00:00,"(1, 1)",Monday,-0.8340129893954051
187,1/1/24 6:00,CE,WEST,CE,8953.087,2024-01-01 06:00:00,"(1, 1)",Monday,-1.3566915034569658
188,1/1/24 6:00,DAY,WEST,DAY,1710.0,2024-01-01 06:00:00,"(1, 1)",Monday,-1.3685048276538148
189,1/1/24 6:00,DEOK,WEST,DEOK,2723.356,2024-01-01 06:00:00,"(1, 1)",Monday,-0.8529688759675622
190,1/1/24 6:00,DOM,SOUTH,DOM,14038.309,2024-01-01 06:00:00,"(1, 1)",Monday,-0.28773786679816066
191,1/1/24 6:00,DPLCO,MIDATL,DPL,2019.514,2024-01-01 06:00:00,"(1, 1)",Monday,-0.6783480834653786
192,1/1/24 6:00,DUQ,WEST,DUQ,1358.001,2024-01-01 06:00:00,"(1, 1)",Monday,-1.200258267132811
193,1/1/24 6:00,EASTON,MIDATL,DPL,29.754,2024-01-01 06:00:00,"(1, 1)",Monday,-0.5173164685948517
194,1/1/24 6:00,EKPC,WEST,EKPC,1913.533,2024-01-01 06:00:00,"(1, 1)",Monday,-0.07491706983458835
195,1/1/24 6:00,JC,MIDATL,JC,2091.541,2024-01-01 06:00:00,"(1, 1)",Monday,-1.1966814574941262
196,1/1/24 6:00,ME,MIDATL,ME,1436.821,2024-01-01 06:00:00,"(1, 1)",Monday,-1.9365156748776153
197,1/1/24 6:00,OE,WEST,ATSI,5891.159,2024-01-01 06:00:00,"(1, 1)",Monday,-1.9895124503264012
199,1/1/24 6:00,PAPWR,WEST,ATSI,435.642,2024-01-01 06:00:00,"(1, 1)",Monday,-2.1301707802075383
200,1/1/24 6:00,PE,MIDATL,PE,3783.652,2024-01-01 06:00:00,"(1, 1)",Monday,-1.3587463267328552
201,1/1/24 6:00,PEPCO,MIDATL,PEP,2452.826,2024-01-01 06:00:00,"(1, 1)",Monday,-0.9427601513422191
202,1/1/24 6:00,PLCO,MIDATL,PL,4012.449,2024-01-01 06:00:00,"(1, 1)",Monday,-1.6122805341713857
